timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-01-01 00:00:00,3677.24000000,3730.27000000,3677.23000000,3722.36000000,258.65670000,1640998799999,960802.45364800,507,180.57280000,671085.59818800,0
2022-01-01 01:00:00,3722.36000000,3747.44000000,3714.31000000,3723.95000000,243.54230000,1641002399999,910136.24954400,646,171.31950000,640644.48722600,0
2022-01-01 02:00:00,3729.30000000,3736.82000000,3723.70000000,3727.53000000,113.78680000,1641005999999,424384.16945800,295,58.77970000,219226.35827500,0
2022-01-01 03:00:00,3728.33000000,3737.12000000,3717.80000000,3723.34000000,99.81290000,1641009599999,371974.05881900,211,46.91160000,174903.92794600,0
2022-01-01 04:00:00,3724.58000000,3727.66000000,3708.14000000,3708.14000000,73.88650000,1641013199999,274603.33473300,250,40.79490000,151648.05222200,0
2022-01-01 05:00:00,3707.47000000,3763.97000000,3702.53000000,3735.32000000,165.73280000,1641016799999,620300.18131800,537,69.69300000,260823.61666600,0
2022-01-01 06:00:00,3737.81000000,3742.26000000,3709.09000000,3711.73000000,100.35910000,1641020399999,374048.71912900,351,42.22000000,157336.55089100,0
2022-01-01 07:00:00,3711.80000000,3723.65000000,3700.95000000,3714.83000000,166.26320000,1641023999999,617025.38245100,390,69.54570000,258113.31428000,0
2022-01-01 08:00:00,3716.97000000,3734.39000000,3709.09000000,3722.25000000,67.17850000,1641027599999,250076.40631700,221,43.00600000,160167.25271000,0
2022-01-01 09:00:00,3722.79000000,3729.25000000,3710.34000000,3716.29000000,130.26310000,1641031199999,485232.10863600,309,45.70120000,170227.32481100,0
2022-01-01 10:00:00,3721.65000000,3731.31000000,3674.81000000,3694.91000000,187.96260000,1641034799999,695554.06538300,543,91.15870000,337400.67190300,0
2022-01-01 11:00:00,3692.99000000,3711.14000000,3692.95000000,3695.46000000,83.03340000,1641038399999,307357.18965400,247,46.40960000,171778.82835700,0
2022-01-01 12:00:00,3694.80000000,3717.73000000,3694.19000000,3716.53000000,58.23680000,1641041999999,215907.56338200,249,27.89170000,103366.70304500,0
2022-01-01 13:00:00,3717.02000000,3724.25000000,3706.54000000,3711.03000000,153.98370000,1641045599999,572240.40095300,355,80.91980000,300825.21530900,0
2022-01-01 14:00:00,3711.36000000,3714.50000000,3693.21000000,3701.31000000,66.20530000,1641049199999,245441.91593100,236,22.69200000,84099.40752600,0
2022-01-01 15:00:00,3695.61000000,3744.94000000,3693.77000000,3723.78000000,225.76330000,1641052799999,842156.66927600,546,135.86200000,506751.41328200,0
2022-01-01 16:00:00,3724.58000000,3748.00000000,3720.08000000,3727.99000000,156.50150000,1641056399999,584648.57741400,304,82.21290000,307134.88320500,0
2022-01-01 17:00:00,3729.42000000,3764.99000000,3727.95000000,3762.55000000,678.91030000,1641059999999,2537289.19297100,861,63.13610000,236811.49523700,0
2022-01-01 18:00:00,3764.43000000,3766.08000000,3741.39000000,3751.35000000,96.77300000,1641063599999,363018.75956000,263,61.50060000,230732.84757700,0
2022-01-01 19:00:00,3753.18000000,3756.66000000,3736.04000000,3746.78000000,61.50680000,1641067199999,230323.67311400,178,32.77130000,122706.59974500,0
2022-01-01 20:00:00,3750.33000000,3777.73000000,3740.21000000,3764.65000000,99.62570000,1641070799999,375013.11944100,290,33.14520000,124790.36024500,0
2022-01-01 21:00:00,3761.69000000,3777.54000000,3747.03000000,3749.50000000,116.00740000,1641074399999,436757.47019400,268,61.43850000,231224.13140800,0
2022-01-01 22:00:00,3747.00000000,3765.20000000,3740.38000000,3756.17000000,119.31920000,1641077999999,447611.53738200,281,52.52850000,197129.91251500,0
2022-01-01 23:00:00,3757.04000000,3775.61000000,3747.17000000,3767.76000000,127.51530000,1641081599999,479311.38230100,333,70.10080000,263444.88379400,0
2022-01-02 00:00:00,3768.01000000,3770.74000000,3752.33000000,3763.18000000,85.60790000,1641085199999,322218.27078100,203,30.67160000,115447.84813200,0
2022-01-02 01:00:00,3764.70000000,3765.03000000,3742.45000000,3746.83000000,86.19360000,1641088799999,323481.95444100,203,19.37750000,72758.39444600,0
2022-01-02 02:00:00,3746.04000000,3753.50000000,3741.58000000,3747.12000000,91.31990000,1641092399999,342281.22741400,199,22.93240000,85953.77900300,0
2022-01-02 03:00:00,3747.54000000,3760.78000000,3743.79000000,3759.30000000,38.38460000,1641095999999,143998.85250600,140,19.25110000,72255.02323400,0
2022-01-02 04:00:00,3759.83000000,3763.20000000,3717.00000000,3722.98000000,108.63730000,1641099599999,405898.75078300,340,58.26810000,217642.56551500,0
2022-01-02 05:00:00,3722.21000000,3744.94000000,3722.21000000,3742.35000000,101.79550000,1641103199999,380097.71579300,217,63.39920000,236751.82641100,0
2022-01-02 06:00:00,3743.58000000,3749.69000000,3738.79000000,3738.79000000,90.16810000,1641106799999,337604.32377400,236,45.09600000,168856.21303000,0
2022-01-02 07:00:00,3738.34000000,3752.02000000,3735.02000000,3747.52000000,38.71230000,1641110399999,144900.95629200,100,12.98680000,48650.57166600,0
2022-01-02 08:00:00,3748.33000000,3748.33000000,3733.89000000,3744.99000000,108.29110000,1641113999999,405028.01372100,243,84.36510000,315567.60341300,0
2022-01-02 09:00:00,3743.78000000,3770.61000000,3738.94000000,3752.75000000,76.61120000,1641117599999,287853.99611100,383,36.60030000,137518.21543100,0
2022-01-02 10:00:00,3752.75000000,3759.87000000,3740.32000000,3741.99000000,118.46310000,1641121199999,444276.14494000,320,41.65370000,156173.48720200,0
2022-01-02 11:00:00,3743.40000000,3755.99000000,3742.39000000,3744.01000000,53.42480000,1641124799999,200221.59982100,182,24.65320000,92445.57880200,0
2022-01-02 12:00:00,3744.79000000,3759.31000000,3729.89000000,3755.39000000,147.77190000,1641128399999,552920.31466800,457,57.69080000,215951.97265400,0
2022-01-02 13:00:00,3756.16000000,3756.92000000,3740.09000000,3747.91000000,93.39280000,1641131999999,350057.75220800,324,63.67480000,238672.93454600,0
2022-01-02 14:00:00,3744.38000000,3757.52000000,3744.26000000,3753.04000000,79.08400000,1641135599999,296720.89094300,327,38.41150000,144139.13593400,0
2022-01-02 15:00:00,3753.25000000,3790.00000000,3753.25000000,3780.55000000,185.13140000,1641139199999,698412.40974800,582,91.34910000,344689.19577200,0
2022-01-02 16:00:00,3779.65000000,3850.00000000,3779.54000000,3839.65000000,492.52130000,1641142799999,1883461.41989700,1082,277.39870000,1062240.23692100,0
2022-01-02 17:00:00,3844.00000000,3857.39000000,3811.61000000,3823.08000000,252.95510000,1641146399999,969282.37416200,609,114.71270000,439698.94260400,0
2022-01-02 18:00:00,3825.29000000,3827.34000000,3765.91000000,3795.74000000,315.64630000,1641149999999,1197271.01687800,713,138.34790000,525255.20278100,0
2022-01-02 19:00:00,3794.79000000,3806.17000000,3784.95000000,3799.90000000,131.34390000,1641153599999,498664.69624900,294,72.44300000,275156.65481700,0
2022-01-02 20:00:00,3797.90000000,3814.73000000,3795.11000000,3810.02000000,72.83650000,1641157199999,277114.80031300,234,48.55350000,184694.30320600,0
2022-01-02 21:00:00,3810.02000000,3828.95000000,3802.69000000,3811.09000000,60.18620000,1641160799999,229731.86119300,212,22.62720000,86329.77439900,0
2022-01-02 22:00:00,3813.22000000,3833.79000000,3810.33000000,3826.86000000,75.42350000,1641164399999,288295.62235500,191,30.00250000,114666.36492300,0
