,id,amountIn,amountInUSD,amountOut,amountOutUSD,timestamp,tokenIn,tokenOut
68,0x00053f5a85161a1e3fee534d7265325fed4c1750faecfd645063a393fe0a591b-256,16000000000000000000,20419.07421738995397147633191181165,20372870066,20372.870066,1671111887,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
69,0x00055009c1c3faf347fc62e7c0e9d12de89b4ad50d0103ec7986179005bda375-83,500000000,500,324658168083445099,500.2393255244421779306507107235814,1676234339,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
70,0x00055394402062bdddbacdf75c584ea250577ee2809bd6d227573319a5d34049-44,60000000000000000,72.61846128265588192931354725982646,72502400,72.5024,1671664019,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
71,0x00055740134249d4cb1c6f8c6166fb98a505056647b71f65804023705d84e342-2,362363336880220443540,569369.855421667822546913291763643,567479936514,567479.936514,1674939347,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
72,0x0005a3048cef80e13273e5c4a34da0a6bdf086f6a58c7f4af80088f5099be33b-124,1626933957,1626.933957,1049023316318160546,1628.319997165791650873281750135143,1676427455,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
73,0x0005b39cac653482836629c7eee2f6b86af98398ef60e7bd5991c9148124b870-244,273000000000000000,445.1509033450805905015192242518989,445524623,445.524623,1674509555,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
74,0x0005b49f728da5c96717db6486d42c8b5351a16da719ed33319e3df3984749b5-2,67486844518,67486.844518,53444624962446430990,67622.18629755595054419742444168192,1670266823,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
75,0x0005cf567355979722d13b4a478fce9e0e4c1a8e1bf7cc4f62dc2e26ecd6f408-42,77838087386,77838.087386,63930141526521634778,77878.06567515199294818956125639041,1668922871,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
76,0x0005d800acf20c11921e167929bf89cffa93d4eefc9aaea71141280e49347534-22,2000000000,2000,1493146436193730042,1998.714377895442770217706746197551,1670939375,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
77,0x0005e611811e9a0460476ab96e70582cc18fbff6b2e8bac8d2b6e186fd0a0be3-108,3000000000,3000,2361988642172534605,3001.379178785878219610871998859185,1670711375,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
