0,0.1195,2.0
1,0.1205,4.0
2,0.1215,4.0
0,0.061,2.0
1,0.0615,2.0
2,0.062,2.0
3,0.0625,2.0
4,0.063,2.0
0,0.0015,40.9
1,0.002,265.4
0,0.0005,482.8
0,0.0005,451.8
0,0.0005,422.1
0,0.107,1300.0
0,0.0485,300.0
1,0.049,200.0
2,0.0495,300.0
3,0.0505,100.0
0,0.034,280.2
1,0.0345,280.2
2,0.035,194.4
3,0.036,97.2
0,0.02,283.2
1,0.0205,94.4
2,0.021,377.6
3,0.022,94.4
4,0.054,6.0
5,0.0545,6.1
6,0.055,12.1
0,0.0085,0.1
1,0.009,2.2
2,0.0095,47.4
3,0.01,38.2
0,0.003,9.6
1,0.0035,188.2
2,0.057,1.0
0,0.0015,220.4
0,0.001,699.4
0,0.0005,57.9
0,0.0005,435.5
0,0.0005,697.7
0,0.407,84.9
1,0.4075,178.1
2,0.408,38.2
0,0.1705,21.1
1,0.171,68.7
2,0.1715,202.1
3,0.1725,6.0
4,0.173,34.3
0,0.113,105.5
1,0.1135,56.3
2,0.114,88.8
3,0.1145,59.8
4,0.115,6.0
5,0.1155,33.5
0,0.0555,47.8
1,0.056,46.2
2,0.0575,58.0
3,0.058,117.9
4,0.0585,28.0
0,0.03,83.7
1,0.0305,41.1
2,0.031,19.8
3,0.0315,47.8
0,0.014,48.9
1,0.0145,61.9
2,0.0165,0.1
3,0.017,0.1
0,0.006,6.6
1,0.0065,119.3
0,0.003,257.5
1,0.0035,436.6
2,0.0045,6.1
0,0.0015,15.6
1,0.002,554.7
0,0.0015,864.0
0,0.001,700.3
1,0.1,0.2
2,0.24,1.4
0,0.0005,252.8
1,0.09,0.1
2,0.28,5.7
3,0.29,10.0
0,0.0005,824.1
1,0.0905,0.9
0,0.0005,759.1
0,0.0005,750.0
0,0.0005,746.1
1,0.05,1.6
0,0.0005,852.6
0,0.0005,696.7
0,0.0005,630.4
0,0.0005,629.1
0,0.0005,626.5
0,0.0005,883.9
0,0.0005,622.6
0,0.0005,674.6
0,0.0005,622.6
0,0.0005,622.6
0,0.0005,622.6
0,0.1,2.0
0,0.1265,4.0
1,0.127,2.0
2,0.1275,6.0
3,0.129,2.0
4,0.1295,4.0
0,0.063,15.0
1,0.0635,110.8
2,0.064,16.6
0,0.026,70.3
1,0.0265,26.1
2,0.027,59.7
0,0.0085,95.8
1,0.009,79.7
0,0.0035,212.9
1,0.004,68.6
2,0.0045,84.3
0,0.002,243.3
0,0.0715,64.8
1,0.072,50.9
0,0.035,8.0
1,0.0355,34.3
0,0.0155,195.1
1,0.016,217.2
0,0.004,164.4
1,0.0045,532.2
2,0.005,90.1
0,0.42,4.0
1,0.4205,10.0
2,0.421,6.0
3,0.4215,4.0
0,0.3045,6.0
1,0.305,6.0
2,0.306,6.0
3,0.3065,2.0
4,0.307,4.0
0,0.248,2.0
1,0.2485,6.0
2,0.249,6.0
3,0.2495,4.0
4,0.25,6.0
5,0.2505,2.0
0,0.1845,10.0
1,0.185,42.0
2,0.1855,61.0
3,0.186,1.0
4,0.285,1.0
0,0.131,33.8
1,0.1315,84.7
2,0.132,72.4
